input,target
rotation 72-5-2 ,rotation: [ 72-5-2 ] 
rotation 688-357-5 ,rotation: [ 688-357-5 ] 
rotation 54-8-583 to 57-165-726 ,rotation: [ 54-8-583 ] -- [57-165-726 ] 
rotation 419-77-82 ,rotation: [ 419-77-82 ] 
rotation 839-26-224 ,rotation: [ 839-26-224 ] 
rotation 856-41-25 ,rotation: [ 856-41-25 ] 
rotation 75-867-21 to 83-00-07 ,rotation: [ 75-867-21 ] -- [83-00-07 ] 
rotation 607-456-487 ,rotation: [ 607-456-487 ] 
rotation 71-06-012 ,rotation: [ 71-06-012 ] 
rotation 92-59-2 to 881-686-50 ,rotation: [ 92-59-2 ] -- [881-686-50 ] 
rotation 1-41-99 ,rotation: [ 1-41-99 ] 
rotation 87-100-2 to 21-6-9 ,rotation: [ 87-100-2 ] -- [21-6-9 ] 
rotation 97-548-8 ,rotation: [ 97-548-8 ] 
rotation 97-06-696 ,rotation: [ 97-06-696 ] 
rotation 94-6-84 ,rotation: [ 94-6-84 ] 
rotation 8-88-47 to 3-696-064 ,rotation: [ 8-88-47 ] -- [3-696-064 ] 
rotation 29-97-535 ,rotation: [ 29-97-535 ] 
rotation 7-35-10 to 993-6-830 ,rotation: [ 7-35-10 ] -- [993-6-830 ] 
rotation 97-8-757 to 6-077-226 ,rotation: [ 97-8-757 ] -- [6-077-226 ] 
rotation 303-2-9 ,rotation: [ 303-2-9 ] 
rotation 737-80-80 to 2-971-411 ,rotation: [ 737-80-80 ] -- [2-971-411 ] 
rotation 052-7-4 ,rotation: [ 052-7-4 ] 
rotation 35-89-3 to 061-98-63 ,rotation: [ 35-89-3 ] -- [061-98-63 ] 
rotation 8-67-04 ,rotation: [ 8-67-04 ] 
rotation 97-7-49 to 20-3-153 ,rotation: [ 97-7-49 ] -- [20-3-153 ] 
rotation 502-451-701 to 447-919-719 ,rotation: [ 502-451-701 ] -- [447-919-719 ] 
rotation 091-3-0 to 3-8-3 ,rotation: [ 091-3-0 ] -- [3-8-3 ] 
rotation 65-627-41 ,rotation: [ 65-627-41 ] 
rotation 394-4-97 to 528-9-44 ,rotation: [ 394-4-97 ] -- [528-9-44 ] 
rotation 4-850-8 ,rotation: [ 4-850-8 ] 
rotation 95-50-98 to 00-7-1 ,rotation: [ 95-50-98 ] -- [00-7-1 ] 
rotation 31-3-20 ,rotation: [ 31-3-20 ] 
rotation 76-01-063 to 91-830-279 ,rotation: [ 76-01-063 ] -- [91-830-279 ] 
rotation 77-36-0 to 89-590-0 ,rotation: [ 77-36-0 ] -- [89-590-0 ] 
rotation 2-96-162 to 57-114-3 ,rotation: [ 2-96-162 ] -- [57-114-3 ] 
rotation 068-8-11 to 02-918-62 ,rotation: [ 068-8-11 ] -- [02-918-62 ] 
rotation 141-1-65 to 4-187-2 ,rotation: [ 141-1-65 ] -- [4-187-2 ] 
rotation 0-10-7 to 2-259-332 ,rotation: [ 0-10-7 ] -- [2-259-332 ] 
rotation 02-95-474 ,rotation: [ 02-95-474 ] 
rotation 160-108-3 to 46-3-341 ,rotation: [ 160-108-3 ] -- [46-3-341 ] 
rotation 0-1-719 to 626-594-34 ,rotation: [ 0-1-719 ] -- [626-594-34 ] 
rotation 6-85-6 ,rotation: [ 6-85-6 ] 
rotation 3-2-66 to 43-6-02 ,rotation: [ 3-2-66 ] -- [43-6-02 ] 
rotation 627-8-148 to 09-985-9 ,rotation: [ 627-8-148 ] -- [09-985-9 ] 
rotation 009-43-69 to 609-69-021 ,rotation: [ 009-43-69 ] -- [609-69-021 ] 
rotation 76-067-398 to 0-22-304 ,rotation: [ 76-067-398 ] -- [0-22-304 ] 
rotation 2-476-4 to 8-87-3 ,rotation: [ 2-476-4 ] -- [8-87-3 ] 
rotation 251-65-67 to 2-338-517 ,rotation: [ 251-65-67 ] -- [2-338-517 ] 
rotation 240-0-49 to 031-72-56 ,rotation: [ 240-0-49 ] -- [031-72-56 ] 
rotation 317-31-948 to 498-14-800 ,rotation: [ 317-31-948 ] -- [498-14-800 ] 
rotation 6-7-57 ,rotation: [ 6-7-57 ] 
rotation 443-01-50 ,rotation: [ 443-01-50 ] 
rotation 17-29-9 ,rotation: [ 17-29-9 ] 
rotation 66-145-877 ,rotation: [ 66-145-877 ] 
rotation 782-1-6 to 303-53-2 ,rotation: [ 782-1-6 ] -- [303-53-2 ] 
rotation 38-8-1 ,rotation: [ 38-8-1 ] 
rotation 493-0-5 to 756-95-91 ,rotation: [ 493-0-5 ] -- [756-95-91 ] 
rotation 34-23-35 to 9-287-04 ,rotation: [ 34-23-35 ] -- [9-287-04 ] 
rotation 25-69-149 to 9-6-807 ,rotation: [ 25-69-149 ] -- [9-6-807 ] 
rotation 506-96-75 to 35-088-52 ,rotation: [ 506-96-75 ] -- [35-088-52 ] 
rotation 156-47-371 ,rotation: [ 156-47-371 ] 
rotation 50-42-18 ,rotation: [ 50-42-18 ] 
rotation 895-8-9 to 11-7-937 ,rotation: [ 895-8-9 ] -- [11-7-937 ] 
rotation 8-270-816 to 3-60-11 ,rotation: [ 8-270-816 ] -- [3-60-11 ] 
rotation 7-87-07 ,rotation: [ 7-87-07 ] 
rotation 230-30-8 ,rotation: [ 230-30-8 ] 
rotation 14-5-95 ,rotation: [ 14-5-95 ] 
rotation 80-01-596 ,rotation: [ 80-01-596 ] 
rotation 926-9-454 ,rotation: [ 926-9-454 ] 
rotation 8-119-047 to 3-77-00 ,rotation: [ 8-119-047 ] -- [3-77-00 ] 
rotation 807-070-32 to 6-6-92 ,rotation: [ 807-070-32 ] -- [6-6-92 ] 
rotation 9-468-50 to 7-6-2 ,rotation: [ 9-468-50 ] -- [7-6-2 ] 
rotation 1-349-246 to 4-138-361 ,rotation: [ 1-349-246 ] -- [4-138-361 ] 
rotation 806-554-51 ,rotation: [ 806-554-51 ] 
rotation 5-679-4 ,rotation: [ 5-679-4 ] 
rotation 6-8-47 ,rotation: [ 6-8-47 ] 
rotation 2-67-0 ,rotation: [ 2-67-0 ] 
rotation 84-5-21 ,rotation: [ 84-5-21 ] 
rotation 30-902-49 to 473-495-552 ,rotation: [ 30-902-49 ] -- [473-495-552 ] 
rotation 5-167-2 ,rotation: [ 5-167-2 ] 
rotation 702-34-028 ,rotation: [ 702-34-028 ] 
rotation 74-0-4 to 7-34-695 ,rotation: [ 74-0-4 ] -- [7-34-695 ] 
rotation 5-264-77 ,rotation: [ 5-264-77 ] 
rotation 651-8-7 ,rotation: [ 651-8-7 ] 
rotation 736-82-4 ,rotation: [ 736-82-4 ] 
rotation 104-90-011 to 1-3-7 ,rotation: [ 104-90-011 ] -- [1-3-7 ] 
rotation 4-3-6 ,rotation: [ 4-3-6 ] 
rotation 56-9-2 to 441-221-9 ,rotation: [ 56-9-2 ] -- [441-221-9 ] 
rotation 60-65-686 ,rotation: [ 60-65-686 ] 
rotation 56-5-014 to 709-2-54 ,rotation: [ 56-5-014 ] -- [709-2-54 ] 
rotation 57-902-11 ,rotation: [ 57-902-11 ] 
rotation 687-1-6 to 72-3-34 ,rotation: [ 687-1-6 ] -- [72-3-34 ] 
rotation 54-9-749 ,rotation: [ 54-9-749 ] 
rotation 187-960-199 to 6-866-64 ,rotation: [ 187-960-199 ] -- [6-866-64 ] 
rotation 693-39-29 ,rotation: [ 693-39-29 ] 
rotation 9-48-2 to 34-4-7 ,rotation: [ 9-48-2 ] -- [34-4-7 ] 
rotation 2-025-48 to 99-02-2 ,rotation: [ 2-025-48 ] -- [99-02-2 ] 
rotation 266-6-853 ,rotation: [ 266-6-853 ] 
rotation 04-9-3 ,rotation: [ 04-9-3 ] 
rotation 6-307-225 to 69-9-502 ,rotation: [ 6-307-225 ] -- [69-9-502 ] 
rotation 992-2-4 ,rotation: [ 992-2-4 ] 
rotation 12-71-26 to 098-07-6 ,rotation: [ 12-71-26 ] -- [098-07-6 ] 
rotation 10-227-05 to 190-478-9 ,rotation: [ 10-227-05 ] -- [190-478-9 ] 
rotation 552-8-9 to 8-993-53 ,rotation: [ 552-8-9 ] -- [8-993-53 ] 
rotation 187-282-6 to 37-65-6 ,rotation: [ 187-282-6 ] -- [37-65-6 ] 
rotation 22-673-1 ,rotation: [ 22-673-1 ] 
rotation 162-21-022 ,rotation: [ 162-21-022 ] 
rotation 817-21-3 ,rotation: [ 817-21-3 ] 
rotation 99-636-55 to 8-6-47 ,rotation: [ 99-636-55 ] -- [8-6-47 ] 
rotation 93-07-9 ,rotation: [ 93-07-9 ] 
rotation 8-3-4 ,rotation: [ 8-3-4 ] 
rotation 575-338-43 ,rotation: [ 575-338-43 ] 
rotation 929-83-79 to 0-39-5 ,rotation: [ 929-83-79 ] -- [0-39-5 ] 
rotation 31-04-228 to 070-016-3 ,rotation: [ 31-04-228 ] -- [070-016-3 ] 
rotation 845-78-079 to 8-18-1 ,rotation: [ 845-78-079 ] -- [8-18-1 ] 
rotation 278-209-2 to 99-62-9 ,rotation: [ 278-209-2 ] -- [99-62-9 ] 
rotation 38-55-112 to 368-04-842 ,rotation: [ 38-55-112 ] -- [368-04-842 ] 
rotation 829-4-54 ,rotation: [ 829-4-54 ] 
rotation 7-5-07 ,rotation: [ 7-5-07 ] 
rotation 530-49-280 ,rotation: [ 530-49-280 ] 
rotation 726-5-477 ,rotation: [ 726-5-477 ] 
rotation 569-83-11 to 6-8-58 ,rotation: [ 569-83-11 ] -- [6-8-58 ] 
rotation 63-661-863 ,rotation: [ 63-661-863 ] 
rotation 1-49-06 to 220-4-0 ,rotation: [ 1-49-06 ] -- [220-4-0 ] 
rotation 5-0-259 ,rotation: [ 5-0-259 ] 
rotation 2-045-7 to 667-237-4 ,rotation: [ 2-045-7 ] -- [667-237-4 ] 
rotation 875-925-353 to 2-89-3 ,rotation: [ 875-925-353 ] -- [2-89-3 ] 
rotation 290-17-9 to 588-8-03 ,rotation: [ 290-17-9 ] -- [588-8-03 ] 
rotation 096-0-935 to 2-27-441 ,rotation: [ 096-0-935 ] -- [2-27-441 ] 
rotation 36-832-57 to 389-531-68 ,rotation: [ 36-832-57 ] -- [389-531-68 ] 
rotation 473-871-4 ,rotation: [ 473-871-4 ] 
rotation 9-978-8 ,rotation: [ 9-978-8 ] 
rotation 646-549-61 ,rotation: [ 646-549-61 ] 
rotation 191-69-573 to 562-57-9 ,rotation: [ 191-69-573 ] -- [562-57-9 ] 
rotation 23-29-446 ,rotation: [ 23-29-446 ] 
rotation 679-337-090 ,rotation: [ 679-337-090 ] 
rotation 23-1-837 to 469-8-545 ,rotation: [ 23-1-837 ] -- [469-8-545 ] 
rotation 6-4-42 ,rotation: [ 6-4-42 ] 
rotation 4-440-423 to 912-13-333 ,rotation: [ 4-440-423 ] -- [912-13-333 ] 
rotation 5-309-912 to 1-820-72 ,rotation: [ 5-309-912 ] -- [1-820-72 ] 
rotation 2-824-95 to 05-0-6 ,rotation: [ 2-824-95 ] -- [05-0-6 ] 
rotation 706-3-6 to 877-23-9 ,rotation: [ 706-3-6 ] -- [877-23-9 ] 
rotation 8-26-58 ,rotation: [ 8-26-58 ] 
rotation 504-130-279 ,rotation: [ 504-130-279 ] 
rotation 0-686-977 to 1-992-857 ,rotation: [ 0-686-977 ] -- [1-992-857 ] 
rotation 806-122-27 to 594-93-3 ,rotation: [ 806-122-27 ] -- [594-93-3 ] 
rotation 989-41-2 ,rotation: [ 989-41-2 ] 
rotation 900-14-0 to 813-349-4 ,rotation: [ 900-14-0 ] -- [813-349-4 ] 
rotation 07-1-3 to 244-9-57 ,rotation: [ 07-1-3 ] -- [244-9-57 ] 
rotation 908-728-762 to 65-32-25 ,rotation: [ 908-728-762 ] -- [65-32-25 ] 
rotation 7-2-29 ,rotation: [ 7-2-29 ] 
rotation 2-75-83 to 138-0-87 ,rotation: [ 2-75-83 ] -- [138-0-87 ] 
rotation 522-97-161 to 98-47-15 ,rotation: [ 522-97-161 ] -- [98-47-15 ] 
rotation 7-57-9 to 198-291-59 ,rotation: [ 7-57-9 ] -- [198-291-59 ] 
rotation 8-2-23 ,rotation: [ 8-2-23 ] 
rotation 3-86-7 to 056-19-436 ,rotation: [ 3-86-7 ] -- [056-19-436 ] 
rotation 3-054-115 to 302-086-748 ,rotation: [ 3-054-115 ] -- [302-086-748 ] 
rotation 010-183-972 to 21-298-58 ,rotation: [ 010-183-972 ] -- [21-298-58 ] 
rotation 6-00-449 to 39-729-385 ,rotation: [ 6-00-449 ] -- [39-729-385 ] 
rotation 520-5-41 to 1-91-7 ,rotation: [ 520-5-41 ] -- [1-91-7 ] 
rotation 5-3-0 ,rotation: [ 5-3-0 ] 
rotation 29-480-5 ,rotation: [ 29-480-5 ] 
rotation 751-34-566 ,rotation: [ 751-34-566 ] 
rotation 6-4-59 to 36-30-432 ,rotation: [ 6-4-59 ] -- [36-30-432 ] 
rotation 844-64-6 to 538-43-247 ,rotation: [ 844-64-6 ] -- [538-43-247 ] 
rotation 24-1-796 ,rotation: [ 24-1-796 ] 
rotation 86-9-82 to 851-510-33 ,rotation: [ 86-9-82 ] -- [851-510-33 ] 
rotation 123-5-893 to 50-5-97 ,rotation: [ 123-5-893 ] -- [50-5-97 ] 
rotation 674-810-854 to 66-89-158 ,rotation: [ 674-810-854 ] -- [66-89-158 ] 
rotation 47-58-09 to 3-21-590 ,rotation: [ 47-58-09 ] -- [3-21-590 ] 
rotation 6-46-096 ,rotation: [ 6-46-096 ] 
rotation 5-306-928 to 3-177-84 ,rotation: [ 5-306-928 ] -- [3-177-84 ] 
rotation 962-99-68 ,rotation: [ 962-99-68 ] 
rotation 605-8-533 ,rotation: [ 605-8-533 ] 
rotation 73-46-999 ,rotation: [ 73-46-999 ] 
rotation 667-85-9 ,rotation: [ 667-85-9 ] 
rotation 0-076-0 ,rotation: [ 0-076-0 ] 
rotation 2-20-272 ,rotation: [ 2-20-272 ] 
rotation 298-944-7 ,rotation: [ 298-944-7 ] 
rotation 2-22-518 ,rotation: [ 2-22-518 ] 
rotation 979-9-9 ,rotation: [ 979-9-9 ] 
rotation 0-386-1 to 4-4-54 ,rotation: [ 0-386-1 ] -- [4-4-54 ] 
rotation 9-5-14 to 5-9-6 ,rotation: [ 9-5-14 ] -- [5-9-6 ] 
rotation 778-5-76 to 144-34-7 ,rotation: [ 778-5-76 ] -- [144-34-7 ] 
rotation 9-4-852 ,rotation: [ 9-4-852 ] 
rotation 63-270-02 to 333-360-623 ,rotation: [ 63-270-02 ] -- [333-360-623 ] 
rotation 87-6-166 ,rotation: [ 87-6-166 ] 
rotation 40-806-977 ,rotation: [ 40-806-977 ] 
rotation 430-01-5 to 1-4-92 ,rotation: [ 430-01-5 ] -- [1-4-92 ] 
rotation 8-0-827 ,rotation: [ 8-0-827 ] 
rotation 58-975-91 ,rotation: [ 58-975-91 ] 
rotation 986-83-0 ,rotation: [ 986-83-0 ] 
rotation 5-163-116 ,rotation: [ 5-163-116 ] 
rotation 042-71-845 ,rotation: [ 042-71-845 ] 
rotation 527-168-6 ,rotation: [ 527-168-6 ] 
rotation 234-61-5 to 821-85-3 ,rotation: [ 234-61-5 ] -- [821-85-3 ] 
rotation 635-6-8 to 76-72-489 ,rotation: [ 635-6-8 ] -- [76-72-489 ] 
rotation 04-13-065 ,rotation: [ 04-13-065 ] 
rotation 14-75-96 to 5-06-067 ,rotation: [ 14-75-96 ] -- [5-06-067 ] 
rotation 5-3-99 ,rotation: [ 5-3-99 ] 
rotation 76-0-46 ,rotation: [ 76-0-46 ] 
rotation 17-2-01 ,rotation: [ 17-2-01 ] 
rotation 676-99-120 to 1-89-1 ,rotation: [ 676-99-120 ] -- [1-89-1 ] 
rotation 34-5-624 ,rotation: [ 34-5-624 ] 
rotation 22-730-201 ,rotation: [ 22-730-201 ] 
rotation 9-1-256 to 653-193-6 ,rotation: [ 9-1-256 ] -- [653-193-6 ] 
rotation 71-1-1 to 53-73-7 ,rotation: [ 71-1-1 ] -- [53-73-7 ] 
rotation 9-85-0 ,rotation: [ 9-85-0 ] 
rotation 034-18-307 to 37-18-064 ,rotation: [ 034-18-307 ] -- [37-18-064 ] 
rotation 19-3-683 to 14-5-333 ,rotation: [ 19-3-683 ] -- [14-5-333 ] 
rotation 21-450-3 to 5-699-306 ,rotation: [ 21-450-3 ] -- [5-699-306 ] 
rotation 1-651-8 ,rotation: [ 1-651-8 ] 
rotation 5-727-398 ,rotation: [ 5-727-398 ] 
rotation 238-93-7 to 555-34-538 ,rotation: [ 238-93-7 ] -- [555-34-538 ] 
rotation 4-992-5 ,rotation: [ 4-992-5 ] 
rotation 9-24-3 ,rotation: [ 9-24-3 ] 
rotation 42-4-243 to 8-4-801 ,rotation: [ 42-4-243 ] -- [8-4-801 ] 
rotation 673-62-8 to 57-420-8 ,rotation: [ 673-62-8 ] -- [57-420-8 ] 
rotation 99-9-5 to 3-870-360 ,rotation: [ 99-9-5 ] -- [3-870-360 ] 
rotation 7-3-72 ,rotation: [ 7-3-72 ] 
rotation 546-34-535 ,rotation: [ 546-34-535 ] 
rotation 99-2-00 to 065-23-45 ,rotation: [ 99-2-00 ] -- [065-23-45 ] 
rotation 3-528-1 to 058-194-553 ,rotation: [ 3-528-1 ] -- [058-194-553 ] 
rotation 9-61-90 ,rotation: [ 9-61-90 ] 
rotation 7-93-69 ,rotation: [ 7-93-69 ] 
rotation 4-97-1 ,rotation: [ 4-97-1 ] 
rotation 55-662-7 ,rotation: [ 55-662-7 ] 
rotation 02-287-22 ,rotation: [ 02-287-22 ] 
rotation 81-42-07 ,rotation: [ 81-42-07 ] 
rotation 025-3-50 ,rotation: [ 025-3-50 ] 
rotation 395-831-302 to 689-87-08 ,rotation: [ 395-831-302 ] -- [689-87-08 ] 
rotation 257-223-112 to 64-92-1 ,rotation: [ 257-223-112 ] -- [64-92-1 ] 
rotation 7-31-511 to 7-14-02 ,rotation: [ 7-31-511 ] -- [7-14-02 ] 
rotation 88-030-791 to 5-1-36 ,rotation: [ 88-030-791 ] -- [5-1-36 ] 
rotation 371-10-3 ,rotation: [ 371-10-3 ] 
rotation 84-3-112 ,rotation: [ 84-3-112 ] 
rotation 775-7-14 ,rotation: [ 775-7-14 ] 
rotation 259-771-91 ,rotation: [ 259-771-91 ] 
rotation 4-102-1 ,rotation: [ 4-102-1 ] 
rotation 513-0-568 ,rotation: [ 513-0-568 ] 
rotation 845-358-452 to 677-68-27 ,rotation: [ 845-358-452 ] -- [677-68-27 ] 
rotation 9-806-1 ,rotation: [ 9-806-1 ] 
rotation 10-776-07 ,rotation: [ 10-776-07 ] 
rotation 43-905-18 ,rotation: [ 43-905-18 ] 
rotation 0-25-88 to 445-96-0 ,rotation: [ 0-25-88 ] -- [445-96-0 ] 
rotation 713-93-91 ,rotation: [ 713-93-91 ] 
rotation 991-3-8 to 22-04-522 ,rotation: [ 991-3-8 ] -- [22-04-522 ] 
rotation 61-4-268 to 317-10-1 ,rotation: [ 61-4-268 ] -- [317-10-1 ] 
rotation 54-60-231 to 68-8-36 ,rotation: [ 54-60-231 ] -- [68-8-36 ] 
rotation 80-016-23 to 82-65-4 ,rotation: [ 80-016-23 ] -- [82-65-4 ] 
rotation 094-2-03 to 2-15-777 ,rotation: [ 094-2-03 ] -- [2-15-777 ] 
rotation 388-7-812 to 399-2-5 ,rotation: [ 388-7-812 ] -- [399-2-5 ] 
rotation 17-315-7 ,rotation: [ 17-315-7 ] 
rotation 8-579-0 to 28-99-6 ,rotation: [ 8-579-0 ] -- [28-99-6 ] 
rotation 736-12-037 ,rotation: [ 736-12-037 ] 
rotation 17-95-14 to 7-022-28 ,rotation: [ 17-95-14 ] -- [7-022-28 ] 
rotation 7-749-3 ,rotation: [ 7-749-3 ] 
rotation 91-52-7 ,rotation: [ 91-52-7 ] 
rotation 097-59-8 ,rotation: [ 097-59-8 ] 
rotation 04-92-520 to 0-49-5 ,rotation: [ 04-92-520 ] -- [0-49-5 ] 
rotation 1-5-02 ,rotation: [ 1-5-02 ] 
rotation 907-744-9 ,rotation: [ 907-744-9 ] 
rotation 50-9-3 ,rotation: [ 50-9-3 ] 
rotation 041-0-180 to 721-34-87 ,rotation: [ 041-0-180 ] -- [721-34-87 ] 
rotation 1-7-99 to 70-9-43 ,rotation: [ 1-7-99 ] -- [70-9-43 ] 
rotation 1-31-3 ,rotation: [ 1-31-3 ] 
rotation 3-425-79 to 289-92-65 ,rotation: [ 3-425-79 ] -- [289-92-65 ] 
rotation 57-3-14 ,rotation: [ 57-3-14 ] 
rotation 4-4-805 ,rotation: [ 4-4-805 ] 
rotation 36-97-4 to 9-838-6 ,rotation: [ 36-97-4 ] -- [9-838-6 ] 
rotation 55-3-09 ,rotation: [ 55-3-09 ] 
rotation 9-2-6 to 351-9-4 ,rotation: [ 9-2-6 ] -- [351-9-4 ] 
rotation 40-99-47 to 613-80-538 ,rotation: [ 40-99-47 ] -- [613-80-538 ] 
rotation 843-569-3 to 220-37-4 ,rotation: [ 843-569-3 ] -- [220-37-4 ] 
rotation 6-046-531 ,rotation: [ 6-046-531 ] 
rotation 4-2-2 ,rotation: [ 4-2-2 ] 
rotation 7-311-4 ,rotation: [ 7-311-4 ] 
rotation 145-440-015 to 63-16-176 ,rotation: [ 145-440-015 ] -- [63-16-176 ] 
rotation 0-20-360 ,rotation: [ 0-20-360 ] 
rotation 21-4-44 to 3-30-463 ,rotation: [ 21-4-44 ] -- [3-30-463 ] 
rotation 365-484-329 to 4-466-21 ,rotation: [ 365-484-329 ] -- [4-466-21 ] 
rotation 982-943-540 ,rotation: [ 982-943-540 ] 
rotation 8-169-020 to 02-81-730 ,rotation: [ 8-169-020 ] -- [02-81-730 ] 
rotation 19-98-86 to 006-03-81 ,rotation: [ 19-98-86 ] -- [006-03-81 ] 
rotation 702-9-4 ,rotation: [ 702-9-4 ] 
rotation 158-9-706 to 9-593-251 ,rotation: [ 158-9-706 ] -- [9-593-251 ] 
rotation 553-719-2 ,rotation: [ 553-719-2 ] 
rotation 439-572-7 ,rotation: [ 439-572-7 ] 
rotation 78-9-00 ,rotation: [ 78-9-00 ] 
rotation 511-717-088 to 797-71-4 ,rotation: [ 511-717-088 ] -- [797-71-4 ] 
rotation 41-731-8 to 024-41-34 ,rotation: [ 41-731-8 ] -- [024-41-34 ] 
rotation 79-7-44 to 84-8-332 ,rotation: [ 79-7-44 ] -- [84-8-332 ] 
rotation 54-797-00 to 072-68-179 ,rotation: [ 54-797-00 ] -- [072-68-179 ] 
rotation 6-3-07 ,rotation: [ 6-3-07 ] 
rotation 0-7-329 ,rotation: [ 0-7-329 ] 
rotation 2-22-76 ,rotation: [ 2-22-76 ] 
rotation 21-28-33 ,rotation: [ 21-28-33 ] 
rotation 11-725-5 to 025-959-8 ,rotation: [ 11-725-5 ] -- [025-959-8 ] 
rotation 36-3-427 to 01-9-3 ,rotation: [ 36-3-427 ] -- [01-9-3 ] 
rotation 027-7-714 ,rotation: [ 027-7-714 ] 
rotation 087-09-0 to 5-944-5 ,rotation: [ 087-09-0 ] -- [5-944-5 ] 
rotation 07-479-279 ,rotation: [ 07-479-279 ] 
rotation 23-53-8 to 437-9-36 ,rotation: [ 23-53-8 ] -- [437-9-36 ] 
rotation 027-458-925 ,rotation: [ 027-458-925 ] 
rotation 0-8-379 to 0-969-842 ,rotation: [ 0-8-379 ] -- [0-969-842 ] 
rotation 35-0-0 to 560-43-33 ,rotation: [ 35-0-0 ] -- [560-43-33 ] 
rotation 0-86-6 ,rotation: [ 0-86-6 ] 
rotation 630-311-0 to 6-1-37 ,rotation: [ 630-311-0 ] -- [6-1-37 ] 
rotation 159-00-478 ,rotation: [ 159-00-478 ] 
rotation 931-96-06 to 7-0-313 ,rotation: [ 931-96-06 ] -- [7-0-313 ] 
rotation 846-8-979 to 04-534-98 ,rotation: [ 846-8-979 ] -- [04-534-98 ] 
rotation 48-74-11 ,rotation: [ 48-74-11 ] 
rotation 74-6-87 to 770-204-037 ,rotation: [ 74-6-87 ] -- [770-204-037 ] 
rotation 36-5-921 ,rotation: [ 36-5-921 ] 
rotation 63-24-6 ,rotation: [ 63-24-6 ] 
rotation 123-776-7 to 01-361-2 ,rotation: [ 123-776-7 ] -- [01-361-2 ] 
rotation 865-5-921 ,rotation: [ 865-5-921 ] 
rotation 64-80-2 ,rotation: [ 64-80-2 ] 
rotation 70-6-614 ,rotation: [ 70-6-614 ] 
rotation 135-4-46 to 326-3-00 ,rotation: [ 135-4-46 ] -- [326-3-00 ] 
rotation 2-20-5 to 146-334-63 ,rotation: [ 2-20-5 ] -- [146-334-63 ] 
rotation 6-940-323 ,rotation: [ 6-940-323 ] 
rotation 6-943-66 to 921-8-7 ,rotation: [ 6-943-66 ] -- [921-8-7 ] 
rotation 4-1-12 ,rotation: [ 4-1-12 ] 
rotation 9-249-7 ,rotation: [ 9-249-7 ] 
rotation 08-36-110 to 5-6-805 ,rotation: [ 08-36-110 ] -- [5-6-805 ] 
rotation 71-12-5 ,rotation: [ 71-12-5 ] 
rotation 5-71-412 to 67-9-390 ,rotation: [ 5-71-412 ] -- [67-9-390 ] 
rotation 0-7-6 ,rotation: [ 0-7-6 ] 
rotation 73-45-54 to 756-8-152 ,rotation: [ 73-45-54 ] -- [756-8-152 ] 
rotation 98-820-88 to 5-16-26 ,rotation: [ 98-820-88 ] -- [5-16-26 ] 
rotation 66-17-29 ,rotation: [ 66-17-29 ] 
rotation 13-518-538 ,rotation: [ 13-518-538 ] 
rotation 0-753-86 to 7-401-19 ,rotation: [ 0-753-86 ] -- [7-401-19 ] 
rotation 4-9-752 to 68-2-3 ,rotation: [ 4-9-752 ] -- [68-2-3 ] 
rotation 282-213-24 to 0-8-9 ,rotation: [ 282-213-24 ] -- [0-8-9 ] 
rotation 64-151-74 ,rotation: [ 64-151-74 ] 
rotation 7-36-9 to 227-36-158 ,rotation: [ 7-36-9 ] -- [227-36-158 ] 
rotation 982-40-4 ,rotation: [ 982-40-4 ] 
rotation 9-592-7 ,rotation: [ 9-592-7 ] 
rotation 5-732-5 ,rotation: [ 5-732-5 ] 
rotation 02-78-21 ,rotation: [ 02-78-21 ] 
rotation 39-96-6 ,rotation: [ 39-96-6 ] 
rotation 15-421-052 ,rotation: [ 15-421-052 ] 
rotation 6-1-888 to 217-231-8 ,rotation: [ 6-1-888 ] -- [217-231-8 ] 
rotation 737-771-903 ,rotation: [ 737-771-903 ] 
rotation 6-8-9 ,rotation: [ 6-8-9 ] 
rotation 3-46-965 to 6-430-2 ,rotation: [ 3-46-965 ] -- [6-430-2 ] 
rotation 10-745-1 ,rotation: [ 10-745-1 ] 
rotation 8-07-857 to 41-52-81 ,rotation: [ 8-07-857 ] -- [41-52-81 ] 
rotation 10-38-2 ,rotation: [ 10-38-2 ] 
rotation 7-06-4 to 77-577-5 ,rotation: [ 7-06-4 ] -- [77-577-5 ] 
rotation 232-24-8 ,rotation: [ 232-24-8 ] 
rotation 79-38-4 ,rotation: [ 79-38-4 ] 
rotation 0-68-99 to 33-80-951 ,rotation: [ 0-68-99 ] -- [33-80-951 ] 
rotation 084-4-6 ,rotation: [ 084-4-6 ] 
rotation 1-24-9 ,rotation: [ 1-24-9 ] 
rotation 64-37-92 ,rotation: [ 64-37-92 ] 
rotation 85-26-469 to 7-9-920 ,rotation: [ 85-26-469 ] -- [7-9-920 ] 
rotation 452-21-2 to 27-9-68 ,rotation: [ 452-21-2 ] -- [27-9-68 ] 
rotation 888-29-6 ,rotation: [ 888-29-6 ] 
rotation 881-45-875 to 935-003-9 ,rotation: [ 881-45-875 ] -- [935-003-9 ] 
rotation 70-3-7 ,rotation: [ 70-3-7 ] 
rotation 3-489-79 ,rotation: [ 3-489-79 ] 
rotation 21-04-1 ,rotation: [ 21-04-1 ] 
rotation 550-1-4 ,rotation: [ 550-1-4 ] 
